;"voter_id";"voter_reg_num";"name_prefix";"first_name";"middle_name";"last_name";"name_suffix";"age";"gender";"race";"ethnic";"street_address";"city";"state";"zip_code";"full_phone_num";"birth_place";"register_date";"download_month"
obj19-obj28;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;1;1;0;1;
obj21-obj22;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;
obj28-obj82;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;
obj30-obj76;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;
obj49-obj74;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0;1;
obj69-obj73;0;0;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;
obj74-obj361;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;
obj132-obj133;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;
obj134-obj142;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;
obj148-obj149;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;
obj150-obj153;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;
obj154-obj917;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;
obj157-obj507;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0;1;
obj160-obj671;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;
obj171-obj674;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;
obj188-obj308;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;
obj196-obj634;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;
obj196-obj675;0;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;0;
obj225-obj278;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;
