url,price,title
https://www.olx.com.pk/item/discount-available-on-photocopier-with-printer-IDWDSYx.html,"Rs 24,999",Discount available on photocopier with printer
https://www.olx.com.pk/item/hp-pavilion-dv6-power-dual-core-american-student-package-IDWGpEl.html,"Rs 13,000",Hp pavilion dv6 power dual core ( american student package)
https://www.olx.com.pk/item/15-computers-total-jesay-hain-usi-conditions-maiexchange-possible-IDWHF3f.html,"Rs 2,000",15 computers total jesay hain usi conditions mai(exchange possible)
https://www.olx.com.pk/item/dell-core-2-dou-computer-IDWHF4i.html,"Rs 2,800",Dell Core 2 Dou Computer
https://www.olx.com.pk/item/tenda-wifi-adapter-IDWHF56.html,Rs 700,Tenda wifi adapter
https://www.olx.com.pk/item/original-cartier-watch-IDWyypp.html,"Rs 3,500",Original Cartier watch
https://www.olx.com.pk/item/hp-g1-450-probook-i3-IDWHF3I.html,"Rs 16,000",Hp g1 450 probook i3
https://www.olx.com.pk/item/flexible-silicone-rubber-silent-usb-keyboard-laptops-computer-IDWHF5q.html,Rs 750,Flexible silicone rubber silent USB keyboard Laptops & Computer
https://www.olx.com.pk/item/audionic-max-350-bluetooth-woofers-IDWFQhD.html,"Rs 4,200",Audionic MAX 350 Bluetooth woofers
https://www.olx.com.pk/item/dell-22-led-full-hd-ips-display-mint-condition-IDTtEDX.html,"Rs 7,500","Dell 22"" LED Full HD IPS display mint condition"
https://www.olx.com.pk/item/laptop-elitebook-8440p-IDWHF7b.html,"Rs 17,000",Laptop elitebook 8440p
https://www.olx.com.pk/item/cisco-router-2811-IDWHF7C.html,"Rs 1,111",Cisco router 2811
https://www.olx.com.pk/item/zong-4g-cloud-bolt-plus-IDWHF1Q.html,"Rs 2,099",Zong 4G Cloud Bolt Plus
https://www.olx.com.pk/item/dell-letitude-e6410-i5-newstock-a-condition-IDWFF4s.html,"Rs 13,000",Dell Letitude E6410 / i5 NewStock A+ Condition
https://www.olx.com.pk/item/lenovo-flex-3-360-intel-5th-genaration-touch-screen-laptop-IDWBb18.html,"Rs 14,000",Lenovo flex 3 (360) intel 5th genaration touch screen laptop
https://www.olx.com.pk/item/intex-heavy-home-theatre-jabardast-sound-and-kuch-IDWHAzI.html,"Rs 14,000",Intex Heavy Home Theatre Jabardast Sound And kuch
https://www.olx.com.pk/item/ps4-used-console-1116-series-IDWGaFq.html,"Rs 22,500",PS4 Used Console 1116 Series
https://www.olx.com.pk/item/crown-topstar-IDWscA3.html,"Rs 8,000",Crown Topstar
https://www.olx.com.pk/item/dell-computer-lcd-IDWHF6Q.html,"Rs 2,800",Dell Computer LCD
https://www.olx.com.pk/item/twins-42inches-samsung-led-IDWCBAS.html,"Rs 24,000",Twins 42inches samsung led
https://www.olx.com.pk/item/discount-dealer-in-internet-wifi-built-in-special-42-inch-led-IDWHETN.html,"Rs 34,000","Discount dealer in internet Wifi built in special 42"" inch Led"
https://www.olx.com.pk/item/peavy-unity-1000-IDWHEQe.html,"Rs 10,000",Peavy unity 1000
https://www.olx.com.pk/item/lg-flatron-t-v-good-condition-less-used-IDWHBG5.html,"Rs 15,400",LG Flatron T.V. Good Condition less used.
https://www.olx.com.pk/item/big-offr-sony-32-inch-led-1-year-warranty-IDWHEVY.html,"Rs 15,700",Big offr sony 32 inch led 1 year warranty
https://www.olx.com.pk/item/nobel-tv-29-inch-with-original-woofers-and-table-IDWqzoh.html,"Rs 12,500",Nobel TV 29 inch with Original woofers and table
https://www.olx.com.pk/item/samsung-25-inch-crt-tv-IDWqzBr.html,"Rs 11,500",Samsung 25 inch CRT tv
https://www.olx.com.pk/item/lg-flatron-original-tv-21-inch-having-woofer-speaker-IDWHEY3.html,"Rs 10,500",Lg flatron original TV 21 inch having woofer speaker
https://www.olx.com.pk/item/a-led-tv-40-inch-curved-IDWxqze.html,"Rs 28,000",A led tv 40 inch curved
https://www.olx.com.pk/item/panasonic-colour-tv-21-inch-IDWHETC.html,"Rs 4,800",Panasonic colour tv 21 inch
https://www.olx.com.pk/item/nia-q1-bluetooth-wireless-headphone-IDWzLxt.html,"Rs 1,499",Nia Q1 bluetooth wireless headphone
